,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
0,1,[0.025],37.4597181258439,37.4597181258439,,,
1,1,[0.06720000000000001],29.040010949875082,32.503221898182446,,,
2,1,[0.060874500000000005],29.890537367280366,29.001426151095316,,,
3,1,[0.0605745],29.9343143825404,12.966522869346795,,,
4,-,-,-,-,32.44694794346178,37.4597181258439,[0.025]
5,2,[0.025233617500000003],37.37965414852903,37.4597181258439,,,
6,2,[0.0602745],29.971825513218285,32.503221898182446,,,
7,2,[0.0611126175],29.857492971841154,29.890537367280366,,,
8,2,[0.060812617500000006],29.900004216201054,29.9343143825404,,,
9,-,-,-,-,32.44694794346178,37.4597181258439,[0.025]
10,3,[0.060812617500000006],29.900004216201054,37.4597181258439,,,
11,3,[0.06064088250000001],29.924931288808807,32.503221898182446,,,
12,3,[0.06064088250000001],29.924931288808807,29.890537367280366,,,
13,3,[0.025233617500000003],37.37965414852903,29.9343143825404,,,
14,-,-,-,-,34.31688136534105,37.4597181258439,[0.025]
15,4,[0.044468891025],32.617282589538775,37.4597181258439,,,
16,4,[0.060637378237500004],29.924931288808807,32.503221898182446,,,
17,4,[0.06064088250000001],29.924931288808807,29.924931288808807,,,
18,4,[0.025233617500000003],37.37965414852903,37.37965414852903,,,
19,-,-,-,-,34.31688136534105,37.4597181258439,[0.025]
20,5,[0.0255336175],37.2980488341786,37.4597181258439,,,
21,5,[0.06034438676250001],29.964602081675817,32.503221898182446,,,
22,5,[0.024468891025],37.65788793060287,29.924931288808807,,,
23,5,[0.025233617500000003],37.37965414852903,37.37965414852903,,,
24,-,-,-,-,36.25012052578956,37.65788793060287,[0.024468891025]
