,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
87,18,[0.02467609341623877],37.57529370138662,37.57529370138662,,,
88,18,[0.02467623783325],37.57529370138662,37.57529370138662,,,
89,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
90,19,[0.02467609344874002],37.57529370138662,37.57529370138662,,,
91,19,[0.024676242133761232],37.57529370138662,37.57529370138662,,,
92,19,[0.024676242133761232],37.57529370138662,37.57529370138662,,,
93,19,[0.02467623783325],37.57529370138662,37.57529370138662,,,
94,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
95,20,[0.024676235666500002],37.57529370138662,37.57529370138662,,,
96,20,[0.02467623783325],37.57529370138662,37.57529370138662,,,
97,20,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
98,20,[0.02467623783325],37.57529370138662,37.57529370138662,,,
99,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
100,21,[0.02467609338325],37.57529370138662,37.57529370138662,,,
101,21,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
102,21,[0.024676093415751253],37.57529370138662,37.57529370138662,,,
103,21,[0.02467623783325],37.57529370138662,37.57529370138662,,,
104,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
105,22,[0.02467623783325],37.57529370138662,37.57529370138662,,,
106,22,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
107,22,[0.024676237800748752],37.57529370138662,37.57529370138662,,,
108,22,[0.02467623783325],37.57529370138662,37.57529370138662,,,
109,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
110,23,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
111,23,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
112,23,[0.0246762334347475],37.57529370138662,37.57529370138662,,,
113,23,[0.02467623783325],37.57529370138662,37.57529370138662,,,
114,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
115,24,[0.02467624003298877],37.57529370138662,37.57529370138662,,,
116,24,[0.02467624003250125],37.57529370138662,37.57529370138662,,,
