,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
37,8,[0.0246760275229266],37.575754385796294,37.575754385796294,,,
38,8,[0.02368281541522847],37.99176950855632,37.84543844462034,,,
39,-,-,-,-,37.889303387612614,37.994844828048926,[0.023672878368287298]
40,9,[0.023672503553227534],37.994844828048926,37.994844828048926,,,
41,9,[0.02366776817790888],37.996601754885695,37.994844828048926,,,
42,9,[0.023682666359524353],37.99176950855632,37.575754385796294,,,
43,9,[0.023667619122204765],37.996601754885695,37.99176950855632,,,
44,-,-,-,-,37.99495446159416,37.996601754885695,[0.02366776817790888]
45,10,[0.023672878368287298],37.994844828048926,37.994844828048926,,,
46,10,[0.02368274301238003],37.99176950855632,37.996601754885695,,,
47,10,[0.023682666359524353],37.99176950855632,37.99176950855632,,,
48,10,[0.02367288060412286],37.994844828048926,37.996601754885695,,,
49,-,-,-,-,37.99495446159416,37.996601754885695,[0.02366776817790888]
50,11,[0.023667542469349087],37.996601754885695,37.994844828048926,,,
51,11,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
52,11,[0.023667993886468675],37.996302995051245,37.99176950855632,,,
53,11,[0.02366762250783316],37.996601754885695,37.996601754885695,,,
54,-,-,-,-,37.99652706492708,37.996601754885695,[0.023667542469349087]
55,12,[0.023667545854977483],37.996601754885695,37.996601754885695,,,
56,12,[0.023667769327701715],37.996601754885695,37.996601754885695,,,
57,12,[0.023667993886468675],37.996302995051245,37.996302995051245,,,
58,12,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
59,-,-,-,-,37.99652706492708,37.996601754885695,[0.023667542469349087]
60,13,[0.023667774949165676],37.996601754885695,37.996601754885695,,,
61,13,[0.023667767028116047],37.996601754885695,37.996601754885695,,,
62,13,[0.02366762589346156],37.996601754885695,37.996302995051245,,,
63,13,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
64,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
65,14,[0.02366762250783316],37.996601754885695,37.996601754885695,,,
66,14,[0.023667620373566452],37.996601754885695,37.996601754885695,,,
67,14,[0.02366776942927057],37.996601754885695,37.996601754885695,,,
68,14,[0.02366762250783316],37.996601754885695,37.996601754885695,,,
69,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
70,15,[0.02366776827947773],37.996601754885695,37.996601754885695,,,
71,15,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
72,15,[0.023667542367780237],37.996601754885695,37.996601754885695,,,
73,15,[0.02366776807634003],37.996601754885695,37.996601754885695,,,
74,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
75,16,[0.023667624743668726],37.996601754885695,37.996601754885695,,,
76,16,[0.023667616987938053],37.996601754885695,37.996601754885695,,,
77,16,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
78,16,[0.023667542570917938],37.996601754885695,37.996601754885695,,,
79,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
80,17,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
81,17,[0.023667540233513525],37.996601754885695,37.996601754885695,,,
82,17,[0.023667627043254393],37.996601754885695,37.996601754885695,,,
83,17,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
84,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
85,18,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
86,18,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
87,18,[0.023667623657625998],37.996601754885695,37.996601754885695,,,
88,18,[0.023667767028116047],37.996601754885695,37.996601754885695,,,
89,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
90,19,[0.02366762250783316],37.996601754885695,37.996601754885695,,,
91,19,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
92,19,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
93,19,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
94,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
95,20,[0.023667629279089955],37.996601754885695,37.996601754885695,,,
96,20,[0.023667542570917938],37.996601754885695,37.996601754885695,,,
97,20,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
98,20,[0.023667769327701715],37.996601754885695,37.996601754885695,,,
99,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
100,21,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
101,21,[0.023667542570917938],37.996601754885695,37.996601754885695,,,
102,21,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
103,21,[0.02366761573657637],37.996601754885695,37.996601754885695,,,
104,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
105,22,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
106,22,[0.02366776942927057],37.996601754885695,37.996601754885695,,,
107,22,[0.023667623657625998],37.996601754885695,37.996601754885695,,,
108,22,[0.02366761573657637],37.996601754885695,37.996601754885695,,,
109,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
110,23,[0.023667769327701715],37.996601754885695,37.996601754885695,,,
111,23,[0.023667542367780237],37.996601754885695,37.996601754885695,,,
112,23,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
113,23,[0.023667617870843077],37.996601754885695,37.996601754885695,,,
114,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
115,24,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
116,24,[0.023667620373566452],37.996601754885695,37.996601754885695,,,
117,24,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
118,24,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
119,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
120,25,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
121,25,[0.023667769327701715],37.996601754885695,37.996601754885695,,,
122,25,[0.023667629279089955],37.996601754885695,37.996601754885695,,,
123,25,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
124,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
125,26,[0.02366761573657637],37.996601754885695,37.996601754885695,,,
126,26,[0.023667540335082376],37.996601754885695,37.996601754885695,,,
127,26,[0.023667623657625998],37.996601754885695,37.996601754885695,,,
128,26,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
129,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
130,27,[0.023667616987938053],37.996601754885695,37.996601754885695,,,
131,27,[0.02366762250783316],37.996601754885695,37.996601754885695,,,
132,27,[0.023667617870843077],37.996601754885695,37.996601754885695,,,
133,27,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
134,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
135,28,[0.023667622507833164],37.996601754885695,37.996601754885695,,,
136,28,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
137,28,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
138,28,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
139,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
140,29,[0.02366761573657637],37.996601754885695,37.996601754885695,,,
141,29,[0.02366762250783316],37.996601754885695,37.996601754885695,,,
142,29,[0.023667767028116047],37.996601754885695,37.996601754885695,,,
143,29,[0.023667542367780237],37.996601754885695,37.996601754885695,,,
144,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
145,30,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
146,30,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
147,30,[0.02366776942927057],37.996601754885695,37.996601754885695,,,
148,30,[0.02366761573657637],37.996601754885695,37.996601754885695,,,
149,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
150,31,[0.023667629279089955],37.996601754885695,37.996601754885695,,,
151,31,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
152,31,[0.023667624743668726],37.996601754885695,37.996601754885695,,,
153,31,[0.023667617870843077],37.996601754885695,37.996601754885695,,,
154,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
155,32,[0.023667542469349087],37.996601754885695,37.996601754885695,,,
156,32,[0.02366761573657637],37.996601754885695,37.996601754885695,,,
157,32,[0.023667767028116047],37.996601754885695,37.996601754885695,,,
158,32,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
159,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
160,33,[0.02366776827947773],37.996601754885695,37.996601754885695,,,
161,33,[0.023667621256471476],37.996601754885695,37.996601754885695,,,
162,33,[0.02366762589346156],37.996601754885695,37.996601754885695,,,
163,33,[0.023667621256471476],37.996601754885695,37.996601754885695,,,
164,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
165,34,[0.02366776827947773],37.996601754885695,37.996601754885695,,,
166,34,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
167,34,[0.023667623657625998],37.996601754885695,37.996601754885695,,,
168,34,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
169,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
170,35,[0.023667542570917938],37.996601754885695,37.996601754885695,,,
171,35,[0.02366776817790888],37.996601754885695,37.996601754885695,,,
172,35,[0.02366776807634003],37.996601754885695,37.996601754885695,,,
173,35,[0.023667619122204765],37.996601754885695,37.996601754885695,,,
174,-,-,-,-,37.996601754885695,37.996601754885695,[0.023667542469349087]
